step,action,balance,position_value,total_rewards
1,"(9, 3)",20000.0,80000.0,0.0
2,"(9, 3)",4000.0,16000.0,0.0
3,"(9, 3)",800.0,3200.0,0.0
4,"(9, 3)",160.0,640.0,0.0
5,"(9, 3)",32.0,128.0,0.0
6,"(9, 3)",6.399999999999999,25.6,0.0
7,"(9, 3)",1.2799999999999994,5.119999999999999,0.0
8,"(9, 3)",0.2559999999999998,1.0239999999999996,0.0
9,"(9, 3)",0.05119999999999994,0.20479999999999984,0.0
10,"(9, 3)",0.010239999999999985,0.040959999999999955,0.0
11,"(9, 3)",0.002047999999999996,0.00819199999999999,0.0
12,"(9, 3)",0.0004095999999999991,0.0016383999999999969,0.0
13,"(9, 3)",8.191999999999981e-05,0.0003276799999999993,0.0
14,"(9, 3)",1.6383999999999957e-05,6.553599999999986e-05,0.0
15,"(9, 3)",3.2767999999999904e-06,1.3107199999999967e-05,0.0
16,"(9, 3)",6.553599999999977e-07,2.6214399999999926e-06,0.0
17,"(9, 3)",1.3107199999999955e-07,5.242879999999982e-07,0.0
18,"(9, 3)",2.62143999999999e-08,1.0485759999999965e-07,0.0
19,"(9, 3)",5.242879999999978e-09,2.0971519999999924e-08,0.0
20,"(9, 3)",1.0485759999999955e-09,4.194303999999982e-09,0.0
21,"(9, 3)",2.0971519999999907e-10,8.388607999999965e-10,0.0
22,"(9, 3)",4.19430399999998e-11,1.6777215999999926e-10,0.0
23,"(9, 3)",8.388607999999962e-12,3.355443199999984e-11,0.0
24,"(9, 3)",1.6777215999999919e-12,6.71088639999997e-12,0.0
25,"(9, 3)",3.355443199999982e-13,1.3421772799999937e-12,0.0
26,"(9, 3)",6.710886399999965e-14,2.6843545599999856e-13,0.0
27,"(9, 3)",1.3421772799999928e-14,5.3687091199999725e-14,0.0
28,"(9, 3)",2.6843545599999853e-15,1.0737418239999943e-14,0.0
29,"(9, 3)",5.368709119999969e-16,2.1474836479999884e-15,0.0
30,"(9, 3)",1.0737418239999935e-16,4.2949672959999755e-16,0.0
31,"(9, 3)",2.1474836479999865e-17,8.589934591999949e-17,0.0
32,"(9, 3)",4.2949672959999724e-18,1.7179869183999893e-17,0.0
33,"(9, 3)",8.589934591999945e-19,3.435973836799978e-18,0.0
34,"(9, 3)",1.7179869183999886e-19,6.871947673599956e-19,0.0
35,"(9, 3)",3.435973836799976e-20,1.374389534719991e-19,0.0
36,"(9, 3)",6.871947673599952e-21,2.748779069439981e-20,0.0
37,"(9, 3)",1.3743895347199905e-21,5.497558138879962e-21,0.0
38,"(9, 3)",2.7487790694399795e-22,1.0995116277759925e-21,0.0
39,"(9, 3)",5.497558138879956e-23,2.199023255551984e-22,0.0
40,"(9, 3)",1.0995116277759908e-23,4.3980465111039654e-23,0.0
41,"(9, 3)",2.1990232555519815e-24,8.796093022207926e-24,0.0
42,"(9, 3)",4.398046511103961e-25,1.7592186044415854e-24,0.0
43,"(9, 3)",8.796093022207922e-26,3.5184372088831686e-25,0.0
44,"(9, 3)",1.759218604441584e-26,7.036874417766338e-26,0.0
45,"(9, 3)",3.518437208883168e-27,1.4073748835532673e-26,0.0
46,"(9, 3)",7.036874417766336e-28,2.8147497671065345e-27,0.0
47,"(9, 3)",1.4073748835532673e-28,5.629499534213069e-28,0.0
48,"(9, 3)",2.814749767106535e-29,1.1258999068426138e-28,0.0
49,"(9, 3)",5.62949953421307e-30,2.251799813685228e-29,0.0
50,"(9, 3)",1.125899906842614e-30,4.503599627370456e-30,0.0
51,"(9, 3)",2.2517998136852283e-31,9.007199254740912e-31,0.0
52,"(9, 3)",4.5035996273704554e-32,1.8014398509481828e-31,0.0
53,"(9, 3)",9.00719925474091e-33,3.6028797018963644e-32,0.0
54,"(9, 3)",1.8014398509481822e-33,7.205759403792727e-33,0.0
55,"(9, 3)",3.602879701896363e-34,1.4411518807585459e-33,0.0
56,"(9, 3)",7.205759403792725e-35,2.8823037615170905e-34,0.0
57,"(9, 3)",1.4411518807585448e-35,5.76460752303418e-35,0.0
58,"(9, 3)",2.882303761517089e-36,1.1529215046068359e-35,0.0
59,"(9, 3)",5.764607523034178e-37,2.3058430092136713e-36,0.0
60,"(9, 3)",1.1529215046068355e-37,4.611686018427343e-37,0.0
61,"(9, 3)",2.364513105882517e-38,9.282042133523531e-38,5.867009666884632e-40
62,"(9, 3)",2.594603046734557e-39,1.678168168202966e-38,-1.5477221983420132e-39
63,"(9, 3)",5.189206093469113e-40,2.0756824373876456e-39,-1.5477221983420132e-39
64,"(9, 3)",1.0378412186938223e-40,4.151364874775291e-40,-1.5477221983420132e-39
65,"(9, 3)",2.0756824373876445e-41,8.302729749550579e-41,-1.5477221983420132e-39
66,"(9, 3)",4.151364874775287e-42,1.6605459499101158e-41,-1.5477221983420132e-39
67,"(9, 3)",8.302729749550573e-43,3.3210918998202296e-42,-1.5477221983420132e-39
68,"(9, 3)",1.6605459499101139e-43,6.642183799640459e-43,-1.5477221983420132e-39
69,"(9, 3)",3.3210918998202277e-44,1.328436759928091e-43,-1.5477221983420132e-39
70,"(9, 3)",6.642183799640456e-45,2.656873519856182e-44,-1.5477221983420132e-39
71,"(9, 3)",1.3284367599280908e-45,5.3137470397123657e-45,-1.5477221983420132e-39
72,"(9, 3)",2.6568735198561803e-46,1.0627494079424728e-45,-1.5477221983420132e-39
73,"(9, 3)",5.313747039712358e-47,2.1254988158849446e-46,-1.5477221983420132e-39
74,"(9, 3)",1.0627494079424715e-47,4.250997631769886e-47,-1.5477221983420132e-39
75,"(9, 3)",2.1254988158849425e-48,8.501995263539773e-48,-1.5477221983420132e-39
76,"(9, 3)",4.250997631769885e-49,1.700399052707954e-48,-1.5477221983420132e-39
77,"(9, 3)",8.50199526353977e-50,3.400798105415908e-49,-1.5477221983420132e-39
78,"(9, 3)",1.700399052707954e-50,6.801596210831816e-50,-1.5477221983420132e-39
79,"(9, 3)",3.4007981054159076e-51,1.3603192421663633e-50,-1.5477221983420132e-39
